location_,status_,temperature_mean,temperature_min,temperature_max,pressure_mean,pressure_min,pressure_max,vibration_mean,vibration_min,vibration_max,sensor_id_count
Adamtown,maintenance,20.61,20.61,20.61,1019.28,1019.28,1019.28,0.218,0.218,0.218,1
Adrianland,active,33.57,33.57,33.57,1007.3,1007.3,1007.3,0.408,0.408,0.408,1
Aliciafurt,error,31.93,31.93,31.93,1018.87,1018.87,1018.87,0.839,0.839,0.839,1
Brianaborough,error,27.73,27.73,27.73,984.51,984.51,984.51,0.864,0.864,0.864,1
Brittanyport,error,23.77,23.77,23.77,1017.07,1017.07,1017.07,0.448,0.448,0.448,1
Burkeshire,error,26.69,26.69,26.69,1003.41,1003.41,1003.41,0.073,0.073,0.073,1
Calebside,maintenance,33.29,33.29,33.29,980.23,980.23,980.23,0.096,0.096,0.096,1
Carpenterton,active,27.67,27.67,27.67,987.98,987.98,987.98,0.638,0.638,0.638,1
Cassidymouth,maintenance,29.96,29.96,29.96,1016.54,1016.54,1016.54,0.435,0.435,0.435,1
Chapmanfort,maintenance,31.59,31.59,31.59,1006.3,1006.3,1006.3,0.191,0.191,0.191,1
Chelseaport,active,26.09,26.09,26.09,1017.38,1017.38,1017.38,0.824,0.824,0.824,1
Christopherburgh,error,26.86,26.86,26.86,992.37,992.37,992.37,0.906,0.906,0.906,1
Christopherton,active,29.56,29.56,29.56,983.72,983.72,983.72,0.63,0.63,0.63,1
East Alison,error,21.53,21.53,21.53,1009.8,1009.8,1009.8,0.928,0.928,0.928,1
East Anthony,maintenance,24.05,24.05,24.05,992.09,992.09,992.09,0.975,0.975,0.975,1
East Holly,active,25.82,25.82,25.82,988.6,988.6,988.6,0.246,0.246,0.246,1
East Matthew,maintenance,22.32,22.32,22.32,999.74,999.74,999.74,0.786,0.786,0.786,1
East Megan,active,28.17,28.17,28.17,991.82,991.82,991.82,0.683,0.683,0.683,1
East Samanthatown,active,31.11,31.11,31.11,981.31,981.31,981.31,0.337,0.337,0.337,1
East Todd,maintenance,21.78,21.78,21.78,986.72,986.72,986.72,0.802,0.802,0.802,1
Fergusonville,error,28.75,28.75,28.75,986.54,986.54,986.54,0.72,0.72,0.72,1
Gutierrezhaven,maintenance,28.54,28.54,28.54,1014.74,1014.74,1014.74,0.356,0.356,0.356,1
Hensleyberg,maintenance,25.52,25.52,25.52,1018.49,1018.49,1018.49,0.845,0.845,0.845,1
Hernandezmouth,maintenance,34.16,34.16,34.16,1007.98,1007.98,1007.98,0.94,0.94,0.94,1
Jacobborough,error,23.0,23.0,23.0,1007.96,1007.96,1007.96,0.711,0.711,0.711,1
Jenniferchester,error,21.52,21.52,21.52,994.47,994.47,994.47,0.868,0.868,0.868,1
Joyton,error,22.43,22.43,22.43,1000.32,1000.32,1000.32,0.135,0.135,0.135,1
Juliefurt,error,32.02,32.02,32.02,980.31,980.31,980.31,0.416,0.416,0.416,1
Justinmouth,error,31.29,31.29,31.29,1006.5,1006.5,1006.5,0.551,0.551,0.551,1
Kelleyfurt,active,29.62,29.62,29.62,990.06,990.06,990.06,0.468,0.468,0.468,1
Lake Allison,error,28.56,28.56,28.56,1008.96,1008.96,1008.96,0.639,0.639,0.639,1
Lake Annamouth,error,25.54,25.54,25.54,996.84,996.84,996.84,0.465,0.465,0.465,1
Lake Jenna,maintenance,22.91,22.91,22.91,983.2,983.2,983.2,0.541,0.541,0.541,1
Lake Karl,active,32.04,32.04,32.04,986.07,986.07,986.07,0.515,0.515,0.515,1
Lake Nicholas,error,29.08,29.08,29.08,991.07,991.07,991.07,0.626,0.626,0.626,1
Lake Peggy,maintenance,20.47,20.47,20.47,1009.57,1009.57,1009.57,0.841,0.841,0.841,1
Lake Stacytown,active,20.71,20.71,20.71,1003.04,1003.04,1003.04,0.625,0.625,0.625,1
Laurenberg,active,33.71,33.71,33.71,988.1,988.1,988.1,0.686,0.686,0.686,1
Lisaton,maintenance,27.41,27.41,27.41,1012.16,1012.16,1012.16,0.104,0.104,0.104,1
